NAICS,GEO,YEAR,VALUE
"Finance, insurance, real estate, rental and leasing",Quebec,2012,21.72
"Finance, insurance, real estate, rental and leasing",Quebec,2013,23
"Finance, insurance, real estate, rental and leasing",Quebec,2014,23.47
"Finance, insurance, real estate, rental and leasing",Quebec,2015,24.25
"Finance, insurance, real estate, rental and leasing",Quebec,2016,25.19
"Finance, insurance, real estate, rental and leasing",Quebec,2017,25.06
"Finance, insurance, real estate, rental and leasing",Quebec,2018,25.01
"Finance, insurance, real estate, rental and leasing",Quebec,2019,27.67
"Finance, insurance, real estate, rental and leasing",Quebec,2020,29.82
"Finance, insurance, real estate, rental and leasing",Quebec,2021,30.49
"Finance, insurance, real estate, rental and leasing",Saskatchewan,2012,22.69
"Finance, insurance, real estate, rental and leasing",Saskatchewan,2013,23.04
"Finance, insurance, real estate, rental and leasing",Saskatchewan,2014,23.64
"Finance, insurance, real estate, rental and leasing",Saskatchewan,2015,25
"Finance, insurance, real estate, rental and leasing",Saskatchewan,2016,25
"Finance, insurance, real estate, rental and leasing",Saskatchewan,2017,25
"Finance, insurance, real estate, rental and leasing",Saskatchewan,2018,25.66
"Finance, insurance, real estate, rental and leasing",Saskatchewan,2019,28.85
"Finance, insurance, real estate, rental and leasing",Saskatchewan,2020,28.72
"Finance, insurance, real estate, rental and leasing",Saskatchewan,2021,29.56
"Forestry, fishing, mining, quarrying, oil and gas",Alberta,2012,35.85
"Forestry, fishing, mining, quarrying, oil and gas",Alberta,2013,36.83
"Forestry, fishing, mining, quarrying, oil and gas",Alberta,2014,36.82
"Forestry, fishing, mining, quarrying, oil and gas",Alberta,2015,38.2
"Forestry, fishing, mining, quarrying, oil and gas",Alberta,2016,39.41
"Forestry, fishing, mining, quarrying, oil and gas",Alberta,2017,40.62
"Forestry, fishing, mining, quarrying, oil and gas",Alberta,2018,40
"Forestry, fishing, mining, quarrying, oil and gas",Alberta,2019,42.92
"Forestry, fishing, mining, quarrying, oil and gas",Alberta,2020,44.14
"Forestry, fishing, mining, quarrying, oil and gas",Alberta,2021,43.85
"Forestry, fishing, mining, quarrying, oil and gas",British Columbia,2012,29.76
"Forestry, fishing, mining, quarrying, oil and gas",British Columbia,2013,28.8
"Forestry, fishing, mining, quarrying, oil and gas",British Columbia,2014,28.28
"Forestry, fishing, mining, quarrying, oil and gas",British Columbia,2015,31.86
"Forestry, fishing, mining, quarrying, oil and gas",British Columbia,2016,34
"Forestry, fishing, mining, quarrying, oil and gas",British Columbia,2017,32.02
"Forestry, fishing, mining, quarrying, oil and gas",British Columbia,2018,35
"Forestry, fishing, mining, quarrying, oil and gas",British Columbia,2019,35.75
"Forestry, fishing, mining, quarrying, oil and gas",British Columbia,2020,37.4
"Forestry, fishing, mining, quarrying, oil and gas",British Columbia,2021,39.02
"Forestry, fishing, mining, quarrying, oil and gas",Canada,2012,30
"Forestry, fishing, mining, quarrying, oil and gas",Canada,2013,31.24
"Forestry, fishing, mining, quarrying, oil and gas",Canada,2014,32.06
"Forestry, fishing, mining, quarrying, oil and gas",Canada,2015,33.34
"Forestry, fishing, mining, quarrying, oil and gas",Canada,2016,34
"Forestry, fishing, mining, quarrying, oil and gas",Canada,2017,35
"Forestry, fishing, mining, quarrying, oil and gas",Canada,2018,35.64
"Forestry, fishing, mining, quarrying, oil and gas",Canada,2019,36.83
"Forestry, fishing, mining, quarrying, oil and gas",Canada,2020,38.03
"Forestry, fishing, mining, quarrying, oil and gas",Canada,2021,39.4
"Forestry, fishing, mining, quarrying, oil and gas",Manitoba,2012,27.5
"Forestry, fishing, mining, quarrying, oil and gas",Manitoba,2013,28.18
"Forestry, fishing, mining, quarrying, oil and gas",Manitoba,2014,30
"Forestry, fishing, mining, quarrying, oil and gas",Manitoba,2015,31.12
"Forestry, fishing, mining, quarrying, oil and gas",Manitoba,2016,32
"Forestry, fishing, mining, quarrying, oil and gas",Manitoba,2017,32
"Forestry, fishing, mining, quarrying, oil and gas",Manitoba,2018,33.83
"Forestry, fishing, mining, quarrying, oil and gas",Manitoba,2019,35
"Forestry, fishing, mining, quarrying, oil and gas",Manitoba,2020,37.5
"Forestry, fishing, mining, quarrying, oil and gas",Manitoba,2021,35.5
"Forestry, fishing, mining, quarrying, oil and gas",New Brunswick,2012,20
"Forestry, fishing, mining, quarrying, oil and gas",New Brunswick,2013,21.93
"Forestry, fishing, mining, quarrying, oil and gas",New Brunswick,2014,18.7
"Forestry, fishing, mining, quarrying, oil and gas",New Brunswick,2015,22
"Forestry, fishing, mining, quarrying, oil and gas",New Brunswick,2016,20.4
"Forestry, fishing, mining, quarrying, oil and gas",New Brunswick,2017,21.02
"Forestry, fishing, mining, quarrying, oil and gas",New Brunswick,2018,21.66
"Forestry, fishing, mining, quarrying, oil and gas",New Brunswick,2019,23
"Forestry, fishing, mining, quarrying, oil and gas",New Brunswick,2020,22.38
"Forestry, fishing, mining, quarrying, oil and gas",New Brunswick,2021,24.02
"Forestry, fishing, mining, quarrying, oil and gas",Newfoundland and Labrador,2012,29.88
"Forestry, fishing, mining, quarrying, oil and gas",Newfoundland and Labrador,2013,31.51
"Forestry, fishing, mining, quarrying, oil and gas",Newfoundland and Labrador,2014,31.62
"Forestry, fishing, mining, quarrying, oil and gas",Newfoundland and Labrador,2015,33.11
"Forestry, fishing, mining, quarrying, oil and gas",Newfoundland and Labrador,2016,32.52
"Forestry, fishing, mining, quarrying, oil and gas",Newfoundland and Labrador,2017,30.57
"Forestry, fishing, mining, quarrying, oil and gas",Newfoundland and Labrador,2018,29.66
"Forestry, fishing, mining, quarrying, oil and gas",Newfoundland and Labrador,2019,33
"Forestry, fishing, mining, quarrying, oil and gas",Newfoundland and Labrador,2020,35.05
"Forestry, fishing, mining, quarrying, oil and gas",Newfoundland and Labrador,2021,38.03
"Forestry, fishing, mining, quarrying, oil and gas",Nova Scotia,2012,19.57
"Forestry, fishing, mining, quarrying, oil and gas",Nova Scotia,2013,20
"Forestry, fishing, mining, quarrying, oil and gas",Nova Scotia,2014,21.15
"Forestry, fishing, mining, quarrying, oil and gas",Nova Scotia,2015,19.76
"Forestry, fishing, mining, quarrying, oil and gas",Nova Scotia,2016,23.26
"Forestry, fishing, mining, quarrying, oil and gas",Nova Scotia,2017,21.66
"Forestry, fishing, mining, quarrying, oil and gas",Nova Scotia,2018,22.75
"Forestry, fishing, mining, quarrying, oil and gas",Nova Scotia,2019,21.63
"Forestry, fishing, mining, quarrying, oil and gas",Nova Scotia,2020,24.75
"Forestry, fishing, mining, quarrying, oil and gas",Nova Scotia,2021,22.36
"Forestry, fishing, mining, quarrying, oil and gas",Ontario,2012,28.19
"Forestry, fishing, mining, quarrying, oil and gas",Ontario,2013,29.5
"Forestry, fishing, mining, quarrying, oil and gas",Ontario,2014,29.92
"Forestry, fishing, mining, quarrying, oil and gas",Ontario,2015,31.25
"Forestry, fishing, mining, quarrying, oil and gas",Ontario,2016,30
"Forestry, fishing, mining, quarrying, oil and gas",Ontario,2017,30.14
"Forestry, fishing, mining, quarrying, oil and gas",Ontario,2018,33.83
"Forestry, fishing, mining, quarrying, oil and gas",Ontario,2019,33
"Forestry, fishing, mining, quarrying, oil and gas",Ontario,2020,34
"Forestry, fishing, mining, quarrying, oil and gas",Ontario,2021,36.82
"Forestry, fishing, mining, quarrying, oil and gas",Prince Edward Island,2012,15.46
"Forestry, fishing, mining, quarrying, oil and gas",Prince Edward Island,2013,16
"Forestry, fishing, mining, quarrying, oil and gas",Prince Edward Island,2014,17
"Forestry, fishing, mining, quarrying, oil and gas",Prince Edward Island,2015,18.9
"Forestry, fishing, mining, quarrying, oil and gas",Prince Edward Island,2016,16.42
"Forestry, fishing, mining, quarrying, oil and gas",Prince Edward Island,2017,17.57
"Forestry, fishing, mining, quarrying, oil and gas",Prince Edward Island,2018,19.88
"Forestry, fishing, mining, quarrying, oil and gas",Prince Edward Island,2019,20
"Forestry, fishing, mining, quarrying, oil and gas",Prince Edward Island,2020,19
"Forestry, fishing, mining, quarrying, oil and gas",Prince Edward Island,2021,21.13
"Forestry, fishing, mining, quarrying, oil and gas",Quebec,2012,24.72
"Forestry, fishing, mining, quarrying, oil and gas",Quebec,2013,24.48
"Forestry, fishing, mining, quarrying, oil and gas",Quebec,2014,25.76
"Forestry, fishing, mining, quarrying, oil and gas",Quebec,2015,26.52
"Forestry, fishing, mining, quarrying, oil and gas",Quebec,2016,28.18
"Forestry, fishing, mining, quarrying, oil and gas",Quebec,2017,29.5
"Forestry, fishing, mining, quarrying, oil and gas",Quebec,2018,30
"Forestry, fishing, mining, quarrying, oil and gas",Quebec,2019,32
"Forestry, fishing, mining, quarrying, oil and gas",Quebec,2020,33.32
"Forestry, fishing, mining, quarrying, oil and gas",Quebec,2021,32
"Forestry, fishing, mining, quarrying, oil and gas",Saskatchewan,2012,30.38
"Forestry, fishing, mining, quarrying, oil and gas",Saskatchewan,2013,34
"Forestry, fishing, mining, quarrying, oil and gas",Saskatchewan,2014,34.73
"Forestry, fishing, mining, quarrying, oil and gas",Saskatchewan,2015,36.76
"Forestry, fishing, mining, quarrying, oil and gas",Saskatchewan,2016,38.46
"Forestry, fishing, mining, quarrying, oil and gas",Saskatchewan,2017,39.26
"Forestry, fishing, mining, quarrying, oil and gas",Saskatchewan,2018,38.73
"Forestry, fishing, mining, quarrying, oil and gas",Saskatchewan,2019,41.02
"Forestry, fishing, mining, quarrying, oil and gas",Saskatchewan,2020,41.68
"Forestry, fishing, mining, quarrying, oil and gas",Saskatchewan,2021,40.44
Goods-producing sector,Alberta,2012,28.72
Goods-producing sector,Alberta,2013,28.85
Goods-producing sector,Alberta,2014,30
Goods-producing sector,Alberta,2015,30.29
Goods-producing sector,Alberta,2016,31.85
Goods-producing sector,Alberta,2017,32.25
Goods-producing sector,Alberta,2018,32
Goods-producing sector,Alberta,2019,33.83
Goods-producing sector,Alberta,2020,34.6
Goods-producing sector,Alberta,2021,34.34
Goods-producing sector,British Columbia,2012,25
Goods-producing sector,British Columbia,2013,25
Goods-producing sector,British Columbia,2014,26
Goods-producing sector,British Columbia,2015,26
Goods-producing sector,British Columbia,2016,26.06
Goods-producing sector,British Columbia,2017,26.7
Goods-producing sector,British Columbia,2018,28
Goods-producing sector,British Columbia,2019,28.6
Goods-producing sector,British Columbia,2020,30
Goods-producing sector,British Columbia,2021,30.38
Goods-producing sector,Canada,2012,23
Goods-producing sector,Canada,2013,23.29
Goods-producing sector,Canada,2014,24
Goods-producing sector,Canada,2015,24.74
Goods-producing sector,Canada,2016,25
Goods-producing sector,Canada,2017,25
Goods-producing sector,Canada,2018,25.26
Goods-producing sector,Canada,2019,26.44
Goods-producing sector,Canada,2020,27.75
Goods-producing sector,Canada,2021,28
Goods-producing sector,Manitoba,2012,20
Goods-producing sector,Manitoba,2013,20
Goods-producing sector,Manitoba,2014,20
Goods-producing sector,Manitoba,2015,21
Goods-producing sector,Manitoba,2016,21.74
Goods-producing sector,Manitoba,2017,23
Goods-producing sector,Manitoba,2018,22.82
Goods-producing sector,Manitoba,2019,23.94
Goods-producing sector,Manitoba,2020,25
Goods-producing sector,Manitoba,2021,25
Goods-producing sector,New Brunswick,2012,18.12
Goods-producing sector,New Brunswick,2013,19.23
Goods-producing sector,New Brunswick,2014,18.68
Goods-producing sector,New Brunswick,2015,20
Goods-producing sector,New Brunswick,2016,20
Goods-producing sector,New Brunswick,2017,20
Goods-producing sector,New Brunswick,2018,20.38
Goods-producing sector,New Brunswick,2019,21.32
Goods-producing sector,New Brunswick,2020,21
Goods-producing sector,New Brunswick,2021,22.75
Goods-producing sector,Newfoundland and Labrador,2012,22.99
Goods-producing sector,Newfoundland and Labrador,2013,24.88
Goods-producing sector,Newfoundland and Labrador,2014,27
Goods-producing sector,Newfoundland and Labrador,2015,28
Goods-producing sector,Newfoundland and Labrador,2016,26.75
Goods-producing sector,Newfoundland and Labrador,2017,26.34
Goods-producing sector,Newfoundland and Labrador,2018,27
Goods-producing sector,Newfoundland and Labrador,2019,29.08
Goods-producing sector,Newfoundland and Labrador,2020,30
Goods-producing sector,Newfoundland and Labrador,2021,30
Goods-producing sector,Nova Scotia,2012,19.73
Goods-producing sector,Nova Scotia,2013,19.79
Goods-producing sector,Nova Scotia,2014,20
Goods-producing sector,Nova Scotia,2015,20
Goods-producing sector,Nova Scotia,2016,20.45
Goods-producing sector,Nova Scotia,2017,21
Goods-producing sector,Nova Scotia,2018,22
Goods-producing sector,Nova Scotia,2019,22.31
Goods-producing sector,Nova Scotia,2020,22.42
Goods-producing sector,Nova Scotia,2021,23
Goods-producing sector,Ontario,2012,22
Goods-producing sector,Ontario,2013,22.38
Goods-producing sector,Ontario,2014,23
Goods-producing sector,Ontario,2015,23.58
Goods-producing sector,Ontario,2016,24
Goods-producing sector,Ontario,2017,23.72
Goods-producing sector,Ontario,2018,24.2
Goods-producing sector,Ontario,2019,25.28
Goods-producing sector,Ontario,2020,26.62
Goods-producing sector,Ontario,2021,26.96
Goods-producing sector,Prince Edward Island,2012,15.9
Goods-producing sector,Prince Edward Island,2013,16.25
Goods-producing sector,Prince Edward Island,2014,16.09
Goods-producing sector,Prince Edward Island,2015,17.07
Goods-producing sector,Prince Edward Island,2016,17.6
Goods-producing sector,Prince Edward Island,2017,18
Goods-producing sector,Prince Edward Island,2018,18.62
Goods-producing sector,Prince Edward Island,2019,18.75
Goods-producing sector,Prince Edward Island,2020,20
Goods-producing sector,Prince Edward Island,2021,20.42
Goods-producing sector,Quebec,2012,21
Goods-producing sector,Quebec,2013,21.16
Goods-producing sector,Quebec,2014,22
Goods-producing sector,Quebec,2015,22
Goods-producing sector,Quebec,2016,23
Goods-producing sector,Quebec,2017,23
Goods-producing sector,Quebec,2018,24
Goods-producing sector,Quebec,2019,25
Goods-producing sector,Quebec,2020,26.44
Goods-producing sector,Quebec,2021,26.72
Goods-producing sector,Saskatchewan,2012,25
Goods-producing sector,Saskatchewan,2013,25
Goods-producing sector,Saskatchewan,2014,25.82
Goods-producing sector,Saskatchewan,2015,27.4
Goods-producing sector,Saskatchewan,2016,28.5
Goods-producing sector,Saskatchewan,2017,28.42
Goods-producing sector,Saskatchewan,2018,29
Goods-producing sector,Saskatchewan,2019,29.75
Goods-producing sector,Saskatchewan,2020,30
Goods-producing sector,Saskatchewan,2021,30
Health care and social assistance,Alberta,2012,23.04
Health care and social assistance,Alberta,2013,26.28
Health care and social assistance,Alberta,2014,26.05
Health care and social assistance,Alberta,2015,26.44
Health care and social assistance,Alberta,2016,27.75
Health care and social assistance,Alberta,2017,28.3
Health care and social assistance,Alberta,2018,26.9
Health care and social assistance,Alberta,2019,27.48
Health care and social assistance,Alberta,2020,28.42
Health care and social assistance,Alberta,2021,28
Health care and social assistance,British Columbia,2012,22
Health care and social assistance,British Columbia,2013,22.84
Health care and social assistance,British Columbia,2014,22.65
Health care and social assistance,British Columbia,2015,23
Health care and social assistance,British Columbia,2016,23.05
Health care and social assistance,British Columbia,2017,23.48
Health care and social assistance,British Columbia,2018,24
Health care and social assistance,British Columbia,2019,24.54
Health care and social assistance,British Columbia,2020,25.87
Health care and social assistance,British Columbia,2021,28
Health care and social assistance,Canada,2012,21.52
Health care and social assistance,Canada,2013,22
Health care and social assistance,Canada,2014,22.2
Health care and social assistance,Canada,2015,22.92
Health care and social assistance,Canada,2016,23.08
Health care and social assistance,Canada,2017,23.97
Health care and social assistance,Canada,2018,24
Health care and social assistance,Canada,2019,24.19
Health care and social assistance,Canada,2020,25.33
Health care and social assistance,Canada,2021,25.57
Health care and social assistance,Manitoba,2012,19.62
Health care and social assistance,Manitoba,2013,19.75
Health care and social assistance,Manitoba,2014,19.76
Health care and social assistance,Manitoba,2015,19.98
Health care and social assistance,Manitoba,2016,21
Health care and social assistance,Manitoba,2017,21
Health care and social assistance,Manitoba,2018,21.17
Health care and social assistance,Manitoba,2019,21.55
Health care and social assistance,Manitoba,2020,21.85
Health care and social assistance,Manitoba,2021,22.06
Health care and social assistance,New Brunswick,2012,19.48
Health care and social assistance,New Brunswick,2013,19.81
Health care and social assistance,New Brunswick,2014,20
Health care and social assistance,New Brunswick,2015,20.8
Health care and social assistance,New Brunswick,2016,21
Health care and social assistance,New Brunswick,2017,21.14
Health care and social assistance,New Brunswick,2018,21.3
Health care and social assistance,New Brunswick,2019,21.44
Health care and social assistance,New Brunswick,2020,22
Health care and social assistance,New Brunswick,2021,23.28
Health care and social assistance,Newfoundland and Labrador,2012,22.68
Health care and social assistance,Newfoundland and Labrador,2013,21.4
Health care and social assistance,Newfoundland and Labrador,2014,20.97
Health care and social assistance,Newfoundland and Labrador,2015,21.98
Health care and social assistance,Newfoundland and Labrador,2016,21.75
Health care and social assistance,Newfoundland and Labrador,2017,24
Health care and social assistance,Newfoundland and Labrador,2018,22.81
Health care and social assistance,Newfoundland and Labrador,2019,23
Health care and social assistance,Newfoundland and Labrador,2020,25.32
Health care and social assistance,Newfoundland and Labrador,2021,24.44
Health care and social assistance,Nova Scotia,2012,19.62
Health care and social assistance,Nova Scotia,2013,19.14
Health care and social assistance,Nova Scotia,2014,20.38
Health care and social assistance,Nova Scotia,2015,20.95
Health care and social assistance,Nova Scotia,2016,21.25
Health care and social assistance,Nova Scotia,2017,22
Health care and social assistance,Nova Scotia,2018,22.59
Health care and social assistance,Nova Scotia,2019,22.54
Health care and social assistance,Nova Scotia,2020,23.08
Health care and social assistance,Nova Scotia,2021,22.9
Health care and social assistance,Ontario,2012,22.55
Health care and social assistance,Ontario,2013,23
Health care and social assistance,Ontario,2014,23
Health care and social assistance,Ontario,2015,23.5
Health care and social assistance,Ontario,2016,24
Health care and social assistance,Ontario,2017,24.38
Health care and social assistance,Ontario,2018,25
Health care and social assistance,Ontario,2019,25
Health care and social assistance,Ontario,2020,26.47
Health care and social assistance,Ontario,2021,26.12
Health care and social assistance,Prince Edward Island,2012,20
Health care and social assistance,Prince Edward Island,2013,20
Health care and social assistance,Prince Edward Island,2014,20.05
Health care and social assistance,Prince Edward Island,2015,21.69
Health care and social assistance,Prince Edward Island,2016,22
Health care and social assistance,Prince Edward Island,2017,22.26
Health care and social assistance,Prince Edward Island,2018,23
Health care and social assistance,Prince Edward Island,2019,24
Health care and social assistance,Prince Edward Island,2020,24
Health care and social assistance,Prince Edward Island,2021,23.98
Health care and social assistance,Quebec,2012,20
Health care and social assistance,Quebec,2013,20.09
Health care and social assistance,Quebec,2014,21.02
Health care and social assistance,Quebec,2015,22
Health care and social assistance,Quebec,2016,21.85
Health care and social assistance,Quebec,2017,22.29
Health care and social assistance,Quebec,2018,22.4
Health care and social assistance,Quebec,2019,23
Health care and social assistance,Quebec,2020,23.7
Health care and social assistance,Quebec,2021,24
Health care and social assistance,Saskatchewan,2012,21.25
Health care and social assistance,Saskatchewan,2013,22
Health care and social assistance,Saskatchewan,2014,22.22
Health care and social assistance,Saskatchewan,2015,23
Health care and social assistance,Saskatchewan,2016,24.45
Health care and social assistance,Saskatchewan,2017,24.56
Health care and social assistance,Saskatchewan,2018,23.48
Health care and social assistance,Saskatchewan,2019,23.7
Health care and social assistance,Saskatchewan,2020,27
Health care and social assistance,Saskatchewan,2021,25
"Information, culture and recreation",Alberta,2012,20
"Information, culture and recreation",Alberta,2013,21
"Information, culture and recreation",Alberta,2014,21.82
"Information, culture and recreation",Alberta,2015,21.68
"Information, culture and recreation",Alberta,2016,20
"Information, culture and recreation",Alberta,2017,20
"Information, culture and recreation",Alberta,2018,20.6
"Information, culture and recreation",Alberta,2019,22.43
"Information, culture and recreation",Alberta,2020,24.5
"Information, culture and recreation",Alberta,2021,25.16
"Information, culture and recreation",British Columbia,2012,20
"Information, culture and recreation",British Columbia,2013,21.22
"Information, culture and recreation",British Columbia,2014,21.82
"Information, culture and recreation",British Columbia,2015,21.82
"Information, culture and recreation",British Columbia,2016,22.25
"Information, culture and recreation",British Columbia,2017,21.88
"Information, culture and recreation",British Columbia,2018,22.75
"Information, culture and recreation",British Columbia,2019,24.04
"Information, culture and recreation",British Columbia,2020,26.72
"Information, culture and recreation",British Columbia,2021,28.98
"Information, culture and recreation",Canada,2012,19.83
"Information, culture and recreation",Canada,2013,20
"Information, culture and recreation",Canada,2014,20.27
"Information, culture and recreation",Canada,2015,21
"Information, culture and recreation",Canada,2016,21
"Information, culture and recreation",Canada,2017,21
"Information, culture and recreation",Canada,2018,21.38
"Information, culture and recreation",Canada,2019,21.64
"Information, culture and recreation",Canada,2020,26.16
"Information, culture and recreation",Canada,2021,28.1
"Information, culture and recreation",Manitoba,2012,19.89
"Information, culture and recreation",Manitoba,2013,20
"Information, culture and recreation",Manitoba,2014,19.25
"Information, culture and recreation",Manitoba,2015,18.88
"Information, culture and recreation",Manitoba,2016,18.58
"Information, culture and recreation",Manitoba,2017,18.04
"Information, culture and recreation",Manitoba,2018,18.37
"Information, culture and recreation",Manitoba,2019,19.89
"Information, culture and recreation",Manitoba,2020,22.5
"Information, culture and recreation",Manitoba,2021,23.04
"Information, culture and recreation",New Brunswick,2012,16.13
"Information, culture and recreation",New Brunswick,2013,16.83
"Information, culture and recreation",New Brunswick,2014,17.25
"Information, culture and recreation",New Brunswick,2015,18.42
"Information, culture and recreation",New Brunswick,2016,17.98
"Information, culture and recreation",New Brunswick,2017,17.36
"Information, culture and recreation",New Brunswick,2018,18.38
"Information, culture and recreation",New Brunswick,2019,19.98
"Information, culture and recreation",New Brunswick,2020,23.5
"Information, culture and recreation",New Brunswick,2021,22.23
"Information, culture and recreation",Newfoundland and Labrador,2012,21.49
"Information, culture and recreation",Newfoundland and Labrador,2013,19.04
"Information, culture and recreation",Newfoundland and Labrador,2014,22.27
"Information, culture and recreation",Newfoundland and Labrador,2015,20.86
"Information, culture and recreation",Newfoundland and Labrador,2016,16.86
"Information, culture and recreation",Newfoundland and Labrador,2017,20.76
"Information, culture and recreation",Newfoundland and Labrador,2018,21
"Information, culture and recreation",Newfoundland and Labrador,2019,23.78
"Information, culture and recreation",Newfoundland and Labrador,2020,23.52
"Information, culture and recreation",Newfoundland and Labrador,2021,22.82
"Information, culture and recreation",Nova Scotia,2012,15.64
"Information, culture and recreation",Nova Scotia,2013,17.25
"Information, culture and recreation",Nova Scotia,2014,17.98
"Information, culture and recreation",Nova Scotia,2015,18.63
"Information, culture and recreation",Nova Scotia,2016,18.8
"Information, culture and recreation",Nova Scotia,2017,17.93
"Information, culture and recreation",Nova Scotia,2018,20
"Information, culture and recreation",Nova Scotia,2019,18
"Information, culture and recreation",Nova Scotia,2020,22.48
"Information, culture and recreation",Nova Scotia,2021,21.25
"Information, culture and recreation",Ontario,2012,19.68
"Information, culture and recreation",Ontario,2013,20
"Information, culture and recreation",Ontario,2014,20
"Information, culture and recreation",Ontario,2015,21.78
"Information, culture and recreation",Ontario,2016,20
"Information, culture and recreation",Ontario,2017,20.62
"Information, culture and recreation",Ontario,2018,21.08
"Information, culture and recreation",Ontario,2019,20.25
"Information, culture and recreation",Ontario,2020,27.16
"Information, culture and recreation",Ontario,2021,28.85
"Information, culture and recreation",Prince Edward Island,2012,16.1
"Information, culture and recreation",Prince Edward Island,2013,15.69
"Information, culture and recreation",Prince Edward Island,2014,16.06
"Information, culture and recreation",Prince Edward Island,2015,18.83
"Information, culture and recreation",Prince Edward Island,2016,17.38
"Information, culture and recreation",Prince Edward Island,2017,18.49
"Information, culture and recreation",Prince Edward Island,2018,17.5
"Information, culture and recreation",Prince Edward Island,2019,16.41
"Information, culture and recreation",Prince Edward Island,2020,18
"Information, culture and recreation",Prince Edward Island,2021,19.27
"Information, culture and recreation",Quebec,2012,18.75
"Information, culture and recreation",Quebec,2013,20.32
"Information, culture and recreation",Quebec,2014,20
"Information, culture and recreation",Quebec,2015,20.76
"Information, culture and recreation",Quebec,2016,21.42
"Information, culture and recreation",Quebec,2017,21
"Information, culture and recreation",Quebec,2018,21
"Information, culture and recreation",Quebec,2019,23.04
"Information, culture and recreation",Quebec,2020,27.56
"Information, culture and recreation",Quebec,2021,28.02
"Information, culture and recreation",Saskatchewan,2012,19.6
"Information, culture and recreation",Saskatchewan,2013,18.96
"Information, culture and recreation",Saskatchewan,2014,19.74
"Information, culture and recreation",Saskatchewan,2015,22
"Information, culture and recreation",Saskatchewan,2016,21.1
"Information, culture and recreation",Saskatchewan,2017,22.25
"Information, culture and recreation",Saskatchewan,2018,22.76
"Information, culture and recreation",Saskatchewan,2019,21
"Information, culture and recreation",Saskatchewan,2020,25.22
"Information, culture and recreation",Saskatchewan,2021,24.95
Manufacturing,Alberta,2012,24.7
Manufacturing,Alberta,2013,25
Manufacturing,Alberta,2014,25.3
Manufacturing,Alberta,2015,25.54
Manufacturing,Alberta,2016,27.05
Manufacturing,Alberta,2017,28.85
Manufacturing,Alberta,2018,27.38
Manufacturing,Alberta,2019,28.05
Manufacturing,Alberta,2020,29.48
Manufacturing,Alberta,2021,30
Manufacturing,British Columbia,2012,23.75
Manufacturing,British Columbia,2013,23.76
Manufacturing,British Columbia,2014,24.51
Manufacturing,British Columbia,2015,25
Manufacturing,British Columbia,2016,24.25
Manufacturing,British Columbia,2017,25
Manufacturing,British Columbia,2018,27
Manufacturing,British Columbia,2019,26.2
Manufacturing,British Columbia,2020,28.38
Manufacturing,British Columbia,2021,27
Manufacturing,Canada,2012,21
Manufacturing,Canada,2013,21.12
Manufacturing,Canada,2014,21.75
Manufacturing,Canada,2015,22
Manufacturing,Canada,2016,22.2
Manufacturing,Canada,2017,22.06
Manufacturing,Canada,2018,23.04
Manufacturing,Canada,2019,24.02
Manufacturing,Canada,2020,25
Manufacturing,Canada,2021,25.08
Manufacturing,Manitoba,2012,17.82
Manufacturing,Manitoba,2013,18.55
Manufacturing,Manitoba,2014,18.88
Manufacturing,Manitoba,2015,19.95
Manufacturing,Manitoba,2016,20
Manufacturing,Manitoba,2017,20.1
Manufacturing,Manitoba,2018,20.72
Manufacturing,Manitoba,2019,21.5
Manufacturing,Manitoba,2020,22.18
Manufacturing,Manitoba,2021,23
Manufacturing,New Brunswick,2012,17
Manufacturing,New Brunswick,2013,17.15
Manufacturing,New Brunswick,2014,17.98
Manufacturing,New Brunswick,2015,19.12
Manufacturing,New Brunswick,2016,19.62
Manufacturing,New Brunswick,2017,20
Manufacturing,New Brunswick,2018,20
Manufacturing,New Brunswick,2019,21
Manufacturing,New Brunswick,2020,20.66
Manufacturing,New Brunswick,2021,22
Manufacturing,Newfoundland and Labrador,2012,14.95
Manufacturing,Newfoundland and Labrador,2013,17.92
Manufacturing,Newfoundland and Labrador,2014,23.24
Manufacturing,Newfoundland and Labrador,2015,22.5
Manufacturing,Newfoundland and Labrador,2016,19.75
Manufacturing,Newfoundland and Labrador,2017,21
Manufacturing,Newfoundland and Labrador,2018,20.5
Manufacturing,Newfoundland and Labrador,2019,21
Manufacturing,Newfoundland and Labrador,2020,22.5
Manufacturing,Newfoundland and Labrador,2021,22.65
Manufacturing,Nova Scotia,2012,18.81
Manufacturing,Nova Scotia,2013,19.64
Manufacturing,Nova Scotia,2014,19.99
Manufacturing,Nova Scotia,2015,19.99
Manufacturing,Nova Scotia,2016,20.51
Manufacturing,Nova Scotia,2017,20.05
Manufacturing,Nova Scotia,2018,23
Manufacturing,Nova Scotia,2019,22.75
Manufacturing,Nova Scotia,2020,21.95
Manufacturing,Nova Scotia,2021,22.8
Manufacturing,Ontario,2012,21.08
Manufacturing,Ontario,2013,21.92
Manufacturing,Ontario,2014,22
Manufacturing,Ontario,2015,22
Manufacturing,Ontario,2016,22.58
Manufacturing,Ontario,2017,22
Manufacturing,Ontario,2018,23
Manufacturing,Ontario,2019,24.02
Manufacturing,Ontario,2020,25
Manufacturing,Ontario,2021,25
Manufacturing,Prince Edward Island,2012,16.44
Manufacturing,Prince Edward Island,2013,16.81
Manufacturing,Prince Edward Island,2014,17
